,시도명,시군구명,전통문화체험 수
0,강원,강릉시,147
1,강원,고성군,14
2,강원,동해시,53
3,강원,삼척시,35
4,강원,속초시,37
5,강원,양구군,14
6,강원,양양군,23
7,강원,영월군,30
8,강원,원주시,211
9,강원,인제군,15
10,강원,정선군,18
11,강원,철원군,16
12,강원,춘천시,187
13,강원,태백시,24
14,강원,평창군,35
15,강원,홍천군,43
16,강원,화천군,11
17,강원,횡성군,20
18,경기,가평군,46
19,경기,고양시,528
20,경기,과천시,29
21,경기,광명시,79
22,경기,광주시,190
23,경기,구리시,58
24,경기,군포시,98
25,경기,김포시,227
26,경기,남양주시,274
27,경기,동두천시,61
28,경기,부천시,304
29,경기,성남시,460
30,경기,수원시,564
31,경기,시흥시,217
32,경기,안산시,255
33,경기,안성시,113
34,경기,안양시,207
35,경기,양주시,108
36,경기,양평군,148
37,경기,여주시,126
38,경기,연천군,19
39,경기,오산시,66
40,경기,용인시,422
41,경기,의왕시,67
42,경기,의정부시,159
43,경기,이천시,260
44,경기,파주시,295
45,경기,평택시,243
46,경기,포천시,115
47,경기,하남시,125
48,경기,화성시,367
49,경남,거제시,99
50,경남,거창군,37
51,경남,고성군,28
52,경남,김해시,258
53,경남,남해군,54
54,경남,밀양시,54
55,경남,사천시,53
56,경남,산청군,17
57,경남,양산시,163
58,경남,의령군,9
59,경남,진주시,202
60,경남,창녕군,26
61,경남,창원시,468
62,경남,통영시,67
63,경남,하동군,18
64,경남,함안군,30
65,경남,함양군,18
66,경남,합천군,20
67,경북,경산시,153
68,경북,경주시,197
69,경북,고령군,17
70,경북,구미시,223
71,경북,군위군,8
72,경북,김천시,39
73,경북,문경시,49
74,경북,봉화군,7
75,경북,상주시,45
76,경북,성주군,16
77,경북,안동시,115
78,경북,영덕군,15
79,경북,영양군,7
80,경북,영주시,76
81,경북,영천시,54
82,경북,예천군,22
83,경북,울릉군,4
84,경북,울진군,27
85,경북,의성군,16
86,경북,청도군,37
87,경북,청송군,15
88,경북,칠곡군,57
89,경북,포항시,260
90,광주,광산구,182
91,광주,남구,154
92,광주,동구,195
93,광주,북구,243
94,광주,서구,158
95,대구,남구,117
96,대구,달서구,199
97,대구,달성군,104
98,대구,동구,160
99,대구,북구,182
100,대구,서구,73
101,대구,수성구,265
102,대구,중구,254
103,대전,대덕구,83
104,대전,동구,128
105,대전,서구,234
106,대전,유성구,179
107,대전,중구,159
108,부산,강서구,53
109,부산,금정구,122
110,부산,기장군,105
111,부산,남구,99
112,부산,동구,72
113,부산,동래구,126
114,부산,부산진구,158
115,부산,북구,71
116,부산,사상구,60
117,부산,사하구,93
118,부산,서구,30
119,부산,수영구,142
120,부산,연제구,72
121,부산,영도구,26
122,부산,중구,87
123,부산,해운대구,171
124,서울,강남구,375
125,서울,강동구,165
126,서울,강북구,116
127,서울,강서구,209
128,서울,관악구,104
129,서울,광진구,190
130,서울,구로구,102
131,서울,금천구,81
132,서울,노원구,155
133,서울,도봉구,84
134,서울,동대문구,179
135,서울,동작구,142
136,서울,마포구,408
137,서울,서대문구,155
138,서울,서초구,231
139,서울,성동구,163
140,서울,성북구,181
141,서울,송파구,312
142,서울,양천구,141
143,서울,영등포구,222
144,서울,용산구,276
145,서울,은평구,171
146,서울,종로구,727
147,서울,중구,297
148,서울,중랑구,127
149,세종특별자치시,가름로,1
150,세종특별자치시,갈매로,3
151,세종특별자치시,고운서길,4
152,세종특별자치시,국세청로,4
153,세종특별자치시,국책연구원1로,1
154,세종특별자치시,금남면,6
155,세종특별자치시,나리로,1
156,세종특별자치시,나성남로,1
157,세종특별자치시,나성로,5
158,세종특별자치시,남세종로,3
159,세종특별자치시,노을3로,2
160,세종특별자치시,누리로,3
161,세종특별자치시,다솜1로,1
162,세종특별자치시,다정북로,1
163,세종특별자치시,다정중앙로,1
164,세종특별자치시,대평1길,1
165,세종특별자치시,대평로,2
166,세종특별자치시,도움1로,3
167,세종특별자치시,도움3로,1
168,세종특별자치시,도움8로,2
169,세종특별자치시,마음로,9
170,세종특별자치시,마음안1로,4
171,세종특별자치시,만남로,1
172,세종특별자치시,모롱지로,1
173,세종특별자치시,반곡로,1
174,세종특별자치시,밝은뜰로,2
175,세종특별자치시,보듬3로,3
176,세종특별자치시,보듬4로,5
177,세종특별자치시,부강면,3
178,세종특별자치시,새롬중앙로,2
179,세종특별자치시,소담3로,1
180,세종특별자치시,소담4로,1
181,세종특별자치시,소담로,1
182,세종특별자치시,소정면,4
183,세종특별자치시,수목원로,1
184,세종특별자치시,시청대로,2
185,세종특별자치시,아름서1길,1
186,세종특별자치시,아름서길,1
187,세종특별자치시,어울누리로,1
188,세종특별자치시,연기면,3
189,세종특별자치시,연서면,8
190,세종특별자치시,장군면,6
191,세종특별자치시,전동면,1
192,세종특별자치시,전의면,2
193,세종특별자치시,조치원읍,26
194,세종특별자치시,한누리대로,25
195,세종특별자치시,호려울로,2
196,울산,남구,165
197,울산,동구,50
198,울산,북구,65
199,울산,울주군,118
200,울산,중구,162
201,인천,강화군,66
202,인천,계양구,102
203,인천,남동구,211
204,인천,동구,48
205,인천,미추홀구,134
206,인천,부평구,178
207,인천,서구,170
208,인천,연수구,120
209,인천,옹진군,6
210,인천,중구,96
211,전남,강진군,31
212,전남,고흥군,29
213,전남,곡성군,21
214,전남,광양시,83
215,전남,구례군,47
216,전남,나주시,79
217,전남,담양군,80
218,전남,목포시,150
219,전남,무안군,43
220,전남,보성군,19
221,전남,순천시,203
222,전남,신안군,7
223,전남,여수시,149
224,전남,영광군,22
225,전남,영암군,28
226,전남,완도군,15
227,전남,장성군,19
228,전남,장흥군,23
229,전남,진도군,8
230,전남,함평군,14
231,전남,해남군,30
232,전남,화순군,34
233,전북,고창군,37
234,전북,군산시,174
235,전북,김제시,63
236,전북,남원시,109
237,전북,무주군,22
238,전북,부안군,36
239,전북,순창군,19
240,전북,완주군,66
241,전북,익산시,155
242,전북,임실군,23
243,전북,장수군,12
244,전북,전주시,552
245,전북,정읍시,80
246,전북,진안군,15
247,제주특별자치도,서귀포시,214
248,제주특별자치도,제주시,450
249,충남,계룡시,18
250,충남,공주시,96
251,충남,금산군,27
252,충남,논산시,67
253,충남,당진시,74
254,충남,보령시,44
255,충남,부여군,40
256,충남,서산시,87
257,충남,서천군,26
258,충남,아산시,122
259,충남,예산군,34
260,충남,천안시,324
261,충남,청양군,17
262,충남,태안군,31
263,충남,홍성군,42
264,충북,괴산군,31
265,충북,단양군,18
266,충북,보은군,10
267,충북,영동군,18
268,충북,옥천군,28
269,충북,음성군,26
270,충북,제천시,87
271,충북,증평군,16
272,충북,진천군,24
273,충북,청주시,532
274,충북,충주시,137
